cell_line,histotype_code,patient_id,rna_passage,wes_passage,tmt_plex,gene,rna_gene_ids,rna_tpm,rna_log2_tpm_plus1,rna_rank_all_models_desc,rna_n_measured_models,rna_rank_within_histotype_desc,rna_n_measured_within_histotype,rna_histotype_patient_median_log2_tpm_plus1,rna_histotype_measured_patients,rna_log2_tpm_plus1_delta_histotype_patient_median,protein_row,protein_uniprot,protein_isodoping,protein_unique_peptides,protein_log2_normalised,protein_rank_all_models_desc,protein_n_measured_models,interpretation
OV1369-R2,HGS,1369,p69,P66,1.0,CCNE1,ENSG00000105173,20.889146,4.452143764088775,23.0,31,13.0,15,5.363526958361573,12.0,-0.9113831942727977,CCNE1,P24864,True,5,12.5268281602376,29.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA4841,CC,VOA4841,p43,NA,3.0,ATR,ENSG00000175054,12.035890000000002,3.7044171783173447,6.0,31,3.0,7,3.5499867134896776,7.0,0.1544304648276671,ATR,Q13535,False,12,10.60986979635561,2.0,24,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA6861,CC,VOA6861,p17,NA,NA,ATR,ENSG00000175054,19.571188,4.36255320776905,1.0,31,1.0,7,3.5499867134896776,7.0,0.8125664942793724,ATR,Q13535,False,12,NA,NA,24,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV112D,EC,TOV112D,p63,P83,4.0,ATR,ENSG00000175054,10.144530999999995,3.4782639992184228,13.0,31,2.0,2,3.582856263865005,2.0,-0.10459226464658222,ATR,Q13535,False,12,10.36627381304361,14.0,24,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA4395,EC,VOA4395,p39-40,NA,1.0,ATR,ENSG00000175054,11.883463,3.687448528511587,8.0,31,1.0,2,3.582856263865005,2.0,0.10459226464658222,ATR,Q13535,False,12,10.50481051352393,10.0,24,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV2414,MC,TOV2414,p69,P65,5.0,ATR,ENSG00000175054,0.5334620999999999,0.6167925103820842,31.0,31,3.0,3,2.7766388233961137,3.0,-2.1598463130140297,ATR,Q13535,False,12,NA,NA,24,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA8762,MC,VOA8762,p27,NA,4.0,ATR,ENSG00000175054,11.430392599999998,3.6357999579011206,10.0,31,1.0,3,2.7766388233961137,3.0,0.859161134505007,ATR,Q13535,False,12,10.12219280810923,21.0,24,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA8771,MC,VOA8771,p28,NA,5.0,ATR,ENSG00000175054,5.8525399,2.7766388233961137,15.0,31,2.0,3,2.7766388233961137,3.0,0.0,ATR,Q13535,False,12,NA,NA,24,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA5217,MMMT,VOA5217,p36,NA,4.0,ATR,ENSG00000175054,11.529888799999998,3.647301706003606,9.0,31,2.0,2,3.74924402454346,2.0,-0.10194231853985425,ATR,Q13535,False,12,10.51748473047534,8.0,24,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA5436,MMMT,VOA5436,p35,NA,5.0,ATR,ENSG00000175054,13.43187,3.8511863430833144,3.0,31,1.0,2,3.74924402454346,2.0,0.10194231853985425,ATR,Q13535,False,12,NA,NA,24,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
BIN67,SCCOHT,BIN67,p51,NA,3.0,ATR,ENSG00000175054,11.93849309329,3.693597695723761,7.0,31,1.0,2,3.630235278191084,2.0,0.06336241753267702,ATR,Q13535,False,12,10.3310183602131,15.0,24,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
COV434,SCCOHT,COV434,p46,NA,1.0,ATR,ENSG00000175054,10.850473999999997,3.566872860658407,11.0,31,2.0,2,3.630235278191084,2.0,-0.06336241753267702,ATR,Q13535,False,12,10.32098970203124,16.0,24,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV1369-R2,HGS,1369,p69,P66,1.0,CHEK2,ENSG00000183765,14.662233,3.969218010477006,18.0,31,6.0,15,3.903489789288817,12.0,0.0657282211881891,CHEK2,O96017,False,10,10.33669605201003,21.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV1946,HGS,OV1946,p64,NA,5.0,CHEK2,ENSG00000183765,13.9999430748,3.9068851205512134,19.0,31,7.0,15,3.903489789288817,12.0,0.0033953312623964393,CHEK2,O96017,False,10,10.60612362933134,10.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV2085,HGS,OV2085,p68,P64,2.0,CHEK2,ENSG00000183765,6.593699,2.9248028143621054,28.0,31,14.0,15,3.903489789288817,12.0,-0.9786869749267115,CHEK2,O96017,False,10,10.57356699752299,12.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV2295,HGS,2295,p64,P61,5.0,CHEK2,ENSG00000183765,13.953349100000002,3.902396735754891,20.0,31,8.0,15,3.903489789288817,12.0,-0.0010930535339257474,CHEK2,O96017,False,10,10.24809908927969,26.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV2295-R2,HGS,2295,p67,P70,3.0,CHEK2,ENSG00000183765,15.4825473,4.042867316357998,17.0,31,5.0,15,3.903489789288817,12.0,0.13937752706918083,CHEK2,O96017,False,10,10.54629300448406,14.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV3133-R,HGS,3133,p64,P71,1.0,CHEK2,ENSG00000183765,8.50739646150029,3.2490503225444347,25.0,31,12.0,15,3.903489789288817,12.0,-0.6544394667443822,CHEK2,O96017,False,10,10.10088987477586,30.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV3133-R2,HGS,3133,NA,P58,NA,CHEK2,ENSG00000183765,NA,NA,NA,31,NA,15,3.903489789288817,12.0,NA,CHEK2,O96017,False,10,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV3291,HGS,3291,NA,P46,NA,CHEK2,ENSG00000183765,NA,NA,NA,31,NA,15,3.903489789288817,12.0,NA,CHEK2,O96017,False,10,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV4453,HGS,OV4453,p60,NA,4.0,CHEK2,ENSG00000183765,17.8262000836373,4.234669927886986,15.0,31,4.0,15,3.903489789288817,12.0,0.3311801385981692,CHEK2,O96017,False,10,10.24138888017096,27.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV4485,HGS,OV4485,p60,NA,2.0,CHEK2,ENSG00000183765,6.6090026943,2.9277073732721575,27.0,31,13.0,15,3.903489789288817,12.0,-0.9757824160166595,CHEK2,O96017,False,10,10.31840198699748,22.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV866-2,HGS,OV866-2,p67,NA,1.0,CHEK2,ENSG00000183765,20.833568600000007,4.448476046597573,8.0,31,3.0,15,3.903489789288817,12.0,0.5449862573087563,CHEK2,O96017,False,10,10.69705413103545,9.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV1369,HGS,1369,p65,P65,2.0,CHEK2,ENSG00000183765,13.231056900000002,3.8309709055758354,22.0,31,10.0,15,3.903489789288817,12.0,-0.07251888371298154,CHEK2,O96017,False,10,10.47250181505417,15.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV2295-R,HGS,2295,NA,P57,NA,CHEK2,ENSG00000183765,NA,NA,NA,31,NA,15,3.903489789288817,12.0,NA,CHEK2,O96017,False,10,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV2835EP,HGS,TOV2835EP,NA,P64,NA,CHEK2,ENSG00000183765,NA,NA,NA,31,NA,15,3.903489789288817,12.0,NA,CHEK2,O96017,False,10,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV2881EP,HGS,TOV2881EP,NA,P64,NA,CHEK2,ENSG00000183765,NA,NA,NA,31,NA,15,3.903489789288817,12.0,NA,CHEK2,O96017,False,10,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV2929D,HGS,TOV2929D,NA,P57,NA,CHEK2,ENSG00000183765,NA,NA,NA,31,NA,15,3.903489789288817,12.0,NA,CHEK2,O96017,False,10,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3041G,HGS,TOV3041G,p67,NA,3.0,CHEK2,ENSG00000183765,13.440540110383097,3.8520527983312003,21.0,31,9.0,15,3.903489789288817,12.0,-0.05143699095761667,CHEK2,O96017,False,10,10.29685874654333,23.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3121D,HGS,3121,NA,P68,NA,CHEK2,ENSG00000183765,NA,NA,NA,31,NA,15,3.903489789288817,12.0,NA,CHEK2,O96017,False,10,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3121EP,HGS,3121,NA,P68,NA,CHEK2,ENSG00000183765,NA,NA,NA,31,NA,15,3.903489789288817,12.0,NA,CHEK2,O96017,False,10,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3133D,HGS,3133,NA,P66,NA,CHEK2,ENSG00000183765,NA,NA,NA,31,NA,15,3.903489789288817,12.0,NA,CHEK2,O96017,False,10,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3133G,HGS,3133,p61,P65,4.0,CHEK2,ENSG00000183765,13.1590700383,3.8236546078230056,23.0,31,11.0,15,3.903489789288817,12.0,-0.07983518146581137,CHEK2,O96017,False,10,10.26001995094881,25.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3291G,HGS,3291,p62,NA,2.0,CHEK2,ENSG00000183765,45.885072192999985,5.551056748944661,1.0,31,1.0,15,3.903489789288817,12.0,1.647566959655844,CHEK2,O96017,False,10,10.85973284942119,3.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV3331,HGS,OV3331,p71,P54,4.0,CHEK2,ENSG00000183765,21.869234127099997,4.51533614670883,6.0,31,2.0,15,3.903489789288817,12.0,0.6118463574200135,CHEK2,O96017,False,10,10.56941317617742,13.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV90,HGS,OV90,p70,P63,5.0,CHEK2,ENSG00000183765,2.987057551649,1.9953244302360098,30.0,31,15.0,15,3.903489789288817,12.0,-1.9081653590528072,CHEK2,O96017,False,10,10.26191995706942,24.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV81D,LGS,TOV81D,NA,P23,NA,CHEK2,ENSG00000183765,NA,NA,NA,31,NA,0,NA,0.0,NA,CHEK2,O96017,False,10,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV21G,CC,TOV21G,p63,P59,5.0,CHEK2,ENSG00000183765,21.136621399999996,4.468363142597828,7.0,31,2.0,7,4.361250762888128,7.0,0.1071123797097,CHEK2,O96017,False,10,10.70341805179933,8.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3392D,CC,TOV3392D,p69,P69,1.0,CHEK2,ENSG00000183765,1.7446754000000002,1.4566355384833183,31.0,31,7.0,7,4.361250762888128,7.0,-2.9046152244048096,CHEK2,O96017,False,10,9.699967849369887,31.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA10816,CC,VOA10816,p20,NA,1.0,CHEK2,ENSG00000183765,19.552625,4.361250762888128,11.0,31,4.0,7,4.361250762888128,7.0,0.0,CHEK2,O96017,False,10,10.5774317165032,11.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA12539,CC,VOA12539,p41,NA,2.0,CHEK2,ENSG00000183765,30.12127899999999,4.959829447275744,3.0,31,1.0,7,4.361250762888128,7.0,0.5985786843876157,CHEK2,O96017,False,10,10.76449252230687,7.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA14993,CC,VOA14993,NA,NA,3.0,CHEK2,ENSG00000183765,NA,NA,NA,31,NA,7,4.361250762888128,7.0,NA,CHEK2,O96017,False,10,10.41880022786725,17.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA295,CC,VOA295,p31,NA,2.0,CHEK2,ENSG00000183765,19.7691102,4.376367503773551,10.0,31,3.0,7,4.361250762888128,7.0,0.015116740885423141,CHEK2,O96017,False,10,10.46575173777223,16.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA4841,CC,VOA4841,p43,NA,3.0,CHEK2,ENSG00000183765,7.9050645,3.154626060905012,26.0,31,6.0,7,4.361250762888128,7.0,-1.2066247019831158,CHEK2,O96017,False,10,10.14784829090345,29.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA6861,CC,VOA6861,p17,NA,NA,CHEK2,ENSG00000183765,19.138017371000004,4.331849748945853,12.0,31,5.0,7,4.361250762888128,7.0,-0.0294010139422749,CHEK2,O96017,False,10,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV112D,EC,TOV112D,p63,P83,4.0,CHEK2,ENSG00000183765,24.350353,4.663933931575688,4.0,31,1.0,2,4.194110869015857,2.0,0.469823062559831,CHEK2,O96017,False,10,10.85628219141445,4.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA4395,EC,VOA4395,p39-40,NA,1.0,CHEK2,ENSG00000183765,12.216679000809789,3.724287806456026,24.0,31,2.0,2,4.194110869015857,2.0,-0.469823062559831,CHEK2,O96017,False,10,10.79287229978097,6.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV2414,MC,TOV2414,p69,P65,5.0,CHEK2,ENSG00000183765,4.113429877535,2.354291316092989,29.0,31,3.0,3,4.310620560831972,3.0,-1.956329244738983,CHEK2,O96017,False,10,10.33881122228346,20.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA8762,MC,VOA8762,p27,NA,4.0,CHEK2,ENSG00000183765,22.463742599999996,4.55236124464838,5.0,31,1.0,3,4.310620560831972,3.0,0.241740683816408,CHEK2,O96017,False,10,10.3479807477912,19.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA8771,MC,VOA8771,p28,NA,5.0,CHEK2,ENSG00000183765,18.843857,4.310620560831972,13.0,31,2.0,3,4.310620560831972,3.0,0.0,CHEK2,O96017,False,10,10.19105074160136,28.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA5217,MMMT,VOA5217,p36,NA,4.0,CHEK2,ENSG00000183765,17.769827000791892,4.230343447973048,16.0,31,2.0,2,4.2550887222242135,2.0,-0.024745274251165128,CHEK2,O96017,False,10,10.96265849349145,2.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA5436,MMMT,VOA5436,p35,NA,5.0,CHEK2,ENSG00000183765,18.424882899999997,4.2798339964753795,14.0,31,1.0,2,4.2550887222242135,2.0,0.024745274251166016,CHEK2,O96017,False,10,11.26395725154586,1.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
BIN67,SCCOHT,BIN67,p51,NA,3.0,CHEK2,ENSG00000183765,20.119259900000003,4.400487372892991,9.0,31,2.0,2,4.805096691495035,2.0,-0.4046093186020441,CHEK2,O96017,False,10,10.3959823398544,18.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
COV434,SCCOHT,COV434,p46,NA,1.0,CHEK2,ENSG00000183765,36.00648,5.209706010097079,2.0,31,1.0,2,4.805096691495035,2.0,0.4046093186020441,CHEK2,O96017,False,10,10.82542001718046,5.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV1369-R2,HGS,1369,p69,P66,1.0,CDK12,ENSG00000167258,22.2592516,4.539732771649522,11.0,31,3.0,15,3.5541813396764486,12.0,0.9855514319730734,CDK12,Q9NYV4,False,25,13.04294145903182,3.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV1946,HGS,OV1946,p64,NA,5.0,CDK12,ENSG00000167258,41.887181,5.422474584771321,2.0,31,1.0,15,3.5541813396764486,12.0,1.8682932450948728,CDK12,Q9NYV4,False,25,12.78240401128612,11.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV2085,HGS,OV2085,p68,P64,2.0,CDK12,ENSG00000167258,7.122452000000001,3.021915312907904,24.0,31,9.0,15,3.5541813396764486,12.0,-0.5322660267685446,CDK12,Q9NYV4,False,25,13.11926619619065,1.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV2295,HGS,2295,p64,P61,5.0,CDK12,ENSG00000167258,6.0038497999999985,2.808148145005244,25.0,31,10.0,15,3.5541813396764486,12.0,-0.7460331946712047,CDK12,Q9NYV4,False,25,12.51097064446488,26.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV2295-R2,HGS,2295,p67,P70,3.0,CDK12,ENSG00000167258,3.8608457,2.281207338739138,28.0,31,13.0,15,3.5541813396764486,12.0,-1.2729740009373107,CDK12,Q9NYV4,False,25,12.49644328686176,27.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV3133-R,HGS,3133,p64,P71,1.0,CDK12,ENSG00000167258,1.262481,1.1779056766949043,31.0,31,15.0,15,3.5541813396764486,12.0,-2.376275662981544,CDK12,Q9NYV4,False,25,12.31216654818036,30.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV3133-R2,HGS,3133,NA,P58,NA,CDK12,ENSG00000167258,NA,NA,NA,31,NA,15,3.5541813396764486,12.0,NA,CDK12,Q9NYV4,False,25,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV3291,HGS,3291,NA,P46,NA,CDK12,ENSG00000167258,NA,NA,NA,31,NA,15,3.5541813396764486,12.0,NA,CDK12,Q9NYV4,False,25,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV4453,HGS,OV4453,p60,NA,4.0,CDK12,ENSG00000167258,19.774396,4.376734627215254,13.0,31,4.0,15,3.5541813396764486,12.0,0.8225532875388053,CDK12,Q9NYV4,False,25,12.56075740076324,25.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV4485,HGS,OV4485,p60,NA,2.0,CDK12,ENSG00000167258,10.284604299999998,3.4962839255184357,22.0,31,7.0,15,3.5541813396764486,12.0,-0.05789741415801286,CDK12,Q9NYV4,False,25,12.49338555297189,28.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV866-2,HGS,OV866-2,p67,NA,1.0,CDK12,ENSG00000167258,13.6830439,3.876079175072383,20.0,31,6.0,15,3.5541813396764486,12.0,0.32189783539593453,CDK12,Q9NYV4,False,25,12.60022095112555,23.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV1369,HGS,1369,p65,P65,2.0,CDK12,ENSG00000167258,5.428244200000001,2.6844247360193996,26.0,31,11.0,15,3.5541813396764486,12.0,-0.869756603657049,CDK12,Q9NYV4,False,25,12.74193704663661,12.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV2295-R,HGS,2295,NA,P57,NA,CDK12,ENSG00000167258,NA,NA,NA,31,NA,15,3.5541813396764486,12.0,NA,CDK12,Q9NYV4,False,25,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV2835EP,HGS,TOV2835EP,NA,P64,NA,CDK12,ENSG00000167258,NA,NA,NA,31,NA,15,3.5541813396764486,12.0,NA,CDK12,Q9NYV4,False,25,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV2881EP,HGS,TOV2881EP,NA,P64,NA,CDK12,ENSG00000167258,NA,NA,NA,31,NA,15,3.5541813396764486,12.0,NA,CDK12,Q9NYV4,False,25,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV2929D,HGS,TOV2929D,NA,P57,NA,CDK12,ENSG00000167258,NA,NA,NA,31,NA,15,3.5541813396764486,12.0,NA,CDK12,Q9NYV4,False,25,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3041G,HGS,TOV3041G,p67,NA,3.0,CDK12,ENSG00000167258,8.660455100000002,3.272091155422072,23.0,31,8.0,15,3.5541813396764486,12.0,-0.2820901842543764,CDK12,Q9NYV4,False,25,12.61442909006921,21.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3121D,HGS,3121,NA,P68,NA,CDK12,ENSG00000167258,NA,NA,NA,31,NA,15,3.5541813396764486,12.0,NA,CDK12,Q9NYV4,False,25,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3121EP,HGS,3121,NA,P68,NA,CDK12,ENSG00000167258,NA,NA,NA,31,NA,15,3.5541813396764486,12.0,NA,CDK12,Q9NYV4,False,25,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3133D,HGS,3133,NA,P66,NA,CDK12,ENSG00000167258,NA,NA,NA,31,NA,15,3.5541813396764486,12.0,NA,CDK12,Q9NYV4,False,25,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3133G,HGS,3133,p61,P65,4.0,CDK12,ENSG00000167258,4.210691200000001,2.381474759196775,27.0,31,12.0,15,3.5541813396764486,12.0,-1.1727065804796735,CDK12,Q9NYV4,False,25,12.79488833691632,10.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3291G,HGS,3291,p62,NA,2.0,CDK12,ENSG00000167258,2.7352567000000003,1.9012073935074647,30.0,31,14.0,15,3.5541813396764486,12.0,-1.6529739461689839,CDK12,Q9NYV4,False,25,12.11622749754361,31.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV3331,HGS,OV3331,p71,P54,4.0,CDK12,ENSG00000167258,17.253529,4.190103505653364,15.0,31,5.0,15,3.5541813396764486,12.0,0.6359221659769156,CDK12,Q9NYV4,False,25,12.92365241684767,4.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV90,HGS,OV90,p70,P63,5.0,CDK12,ENSG00000167258,25.627535,4.734846974510716,7.0,31,2.0,15,3.5541813396764486,12.0,1.1806656348342672,CDK12,Q9NYV4,False,25,12.80033551813062,9.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV81D,LGS,TOV81D,NA,P23,NA,CDK12,ENSG00000167258,NA,NA,NA,31,NA,0,NA,0.0,NA,CDK12,Q9NYV4,False,25,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV21G,CC,TOV21G,p63,P59,5.0,CDK12,ENSG00000167258,3.7941328,2.2612698729519676,29.0,31,7.0,7,4.326461292579391,7.0,-2.0651914196274235,CDK12,Q9NYV4,False,25,12.34705335025975,29.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3392D,CC,TOV3392D,p69,P69,1.0,CDK12,ENSG00000167258,16.773689,4.151671244439428,17.0,31,5.0,7,4.326461292579391,7.0,-0.1747900481399629,CDK12,Q9NYV4,False,25,12.7176309932191,14.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA10816,CC,VOA10816,p20,NA,1.0,CDK12,ENSG00000167258,48.791844000000005,5.637837540305248,1.0,31,1.0,7,4.326461292579391,7.0,1.3113762477258568,CDK12,Q9NYV4,False,25,12.69490567292575,15.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA12539,CC,VOA12539,p41,NA,2.0,CDK12,ENSG00000167258,19.0629423,4.326461292579391,14.0,31,4.0,7,4.326461292579391,7.0,0.0,CDK12,Q9NYV4,False,25,12.63584000868512,19.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA14993,CC,VOA14993,NA,NA,3.0,CDK12,ENSG00000167258,NA,NA,NA,31,NA,7,4.326461292579391,7.0,NA,CDK12,Q9NYV4,False,25,12.66188262582561,16.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA295,CC,VOA295,p31,NA,2.0,CDK12,ENSG00000167258,13.8736256,3.8946844569769374,19.0,31,6.0,7,4.326461292579391,7.0,-0.4317768356024536,CDK12,Q9NYV4,False,25,12.58013375782901,24.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA4841,CC,VOA4841,p43,NA,3.0,CDK12,ENSG00000167258,31.345106999999995,5.0154755801888955,5.0,31,2.0,7,4.326461292579391,7.0,0.6890142876095044,CDK12,Q9NYV4,False,25,12.62593150162749,20.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA6861,CC,VOA6861,p17,NA,NA,CDK12,ENSG00000167258,22.310775999999994,4.542925126497741,10.0,31,3.0,7,4.326461292579391,7.0,0.21646383391834956,CDK12,Q9NYV4,False,25,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV112D,EC,TOV112D,p63,P83,4.0,CDK12,ENSG00000167258,37.200796999999994,5.255530833042439,3.0,31,1.0,2,4.899490622437236,2.0,0.35604021060520274,CDK12,Q9NYV4,False,25,13.06911275647592,2.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA4395,EC,VOA4395,p39-40,NA,1.0,CDK12,ENSG00000167258,22.319265,4.543450411832034,9.0,31,2.0,2,4.899490622437236,2.0,-0.35604021060520186,CDK12,Q9NYV4,False,25,12.84406638768668,6.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV2414,MC,TOV2414,p69,P65,5.0,CDK12,ENSG00000167258,13.9423056,3.901330868252163,18.0,31,3.0,3,4.701671104224549,3.0,-0.8003402359723863,CDK12,Q9NYV4,False,25,12.60581595774952,22.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA8762,MC,VOA8762,p27,NA,4.0,CDK12,ENSG00000167258,25.0222013,4.701671104224549,8.0,31,2.0,3,4.701671104224549,3.0,0.0,CDK12,Q9NYV4,False,25,12.81773364376756,8.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA8771,MC,VOA8771,p28,NA,5.0,CDK12,ENSG00000167258,26.695858999999995,4.791598379942904,6.0,31,1.0,3,4.701671104224549,3.0,0.08992727571835513,CDK12,Q9NYV4,False,25,12.7390504348318,13.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA5217,MMMT,VOA5217,p36,NA,4.0,CDK12,ENSG00000167258,12.142562,3.7161746357230823,21.0,31,2.0,2,3.9450133367605718,2.0,-0.2288387010374895,CDK12,Q9NYV4,False,25,12.6572200241865,17.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA5436,MMMT,VOA5436,p35,NA,5.0,CDK12,ENSG00000167258,17.049063,4.173852037798061,16.0,31,1.0,2,3.9450133367605718,2.0,0.22883870103748905,CDK12,Q9NYV4,False,25,12.64835826361423,18.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
BIN67,SCCOHT,BIN67,p51,NA,3.0,CDK12,ENSG00000167258,19.90963,4.386095628269282,12.0,31,2.0,2,4.739337534474398,2.0,-0.353241906205116,CDK12,Q9NYV4,False,25,12.82944590544797,7.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
COV434,SCCOHT,COV434,p46,NA,1.0,CDK12,ENSG00000167258,33.120797,5.092579440679513,4.0,31,1.0,2,4.739337534474398,2.0,0.3532419062051151,CDK12,Q9NYV4,False,25,12.84902261217765,5.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV1369-R2,HGS,1369,p69,P66,1.0,MLH1,ENSG00000076242,20.474556899999996,4.424556458392302,19.0,31,7.0,15,4.402716822930791,12.0,0.02183963546151091,MLH1,P40692,False,22,12.75025173801913,10.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
